[6nTok[KEYWD: 'typing']
Tok[IDENT: 'sta']
Tok[SEMICLN: ';']
Tok[KEYWD: 'delim']
Tok[IDENT: 'brac']
Tok[SEMICLN: ';']
Tok[KEYWD: 'let']
Tok[KEYWD: 'int']
Tok[IDENT: 'x']
Tok[EQ: '=']
Tok[INT: '1']
Tok[SEMICLN: ';']
Tok[KEYWD: 'ch']
Tok[IDENT: 'x']
Tok[EQ: '=']
Tok[INT: '5']
Tok[SEMICLN: ';']
Tok[KEYWD: 'if']
Tok[LPAREN: '(']
Tok[IDENT: 'x']
Tok[EQEQ: '==']
Tok[INT: '2']
Tok[RPAREN: ')']
Tok[LFLBRAC: '{']
Tok[KEYWD: 'prn']
Tok[STR: 'Boooo!']
Tok[SEMICLN: ';']
Tok[RFLBRAC: '}']
Tok[SEMICLN: ';']
Tok[LFLBRAC: '{']
Tok[KEYWD: 'ch']
Tok[IDENT: 'x']
Tok[EQ: '=']
Tok[INT: '10']
Tok[SEMICLN: ';']
Tok[RFLBRAC: '}']
